Designator,Mid X,Mid Y,Rotation,Layer
R208,108.75,-70.0,0.0,bottom
R209,100.75,-71.75,180.0,bottom
R21,158.7,-140.75,180.0,top
R210,110.75,-85.25,0.0,bottom
R211,103.25,-71.75,180.0,bottom
R212,110.75,-86.75,0.0,bottom
R213,110.75,-87.75,0.0,bottom
R214,113.75,-91.75,180.0,bottom
R215,111.25,-91.25,0.0,bottom
R216,99.25,-89.75,0.0,bottom
R217,103.25,-72.75,0.0,bottom
R218,109.75,-74.25,270.0,bottom
R219,97.75,-72.75,180.0,bottom
R22,184.25,-140.75,180.0,top
R220,100.75,-73.25,180.0,bottom
R221,85.25,-83.85,90.0,top
R222,86.2,-83.9,90.0,top
R223,90.25,-76.75,0.0,bottom
R224,87.4,-81.0,270.0,bottom
R225,90.4,-77.65,0.0,bottom
R226,93.0,-77.6,180.0,bottom
R227,99.25,-74.25,90.0,bottom
R228,95.3,-77.6,0.0,bottom
R229,104.3,-86.95,90.0,bottom
R23,123.1,-96.9,90.0,top
R230,103.5,-91.0,0.0,bottom
R231,88.4,-81.0,270.0,bottom
R232,103.75,-89.75,0.0,bottom
R233,101.25,-89.75,180.0,bottom
R234,110.15,-118.75,0.0,bottom
R235,112.05,-115.35,270.0,bottom
R236,112.25,-117.35,0.0,bottom
R237,106.8,-117.35,0.0,bottom
R238,109.7,-117.2,0.0,bottom
R239,119.25,-111.25,0.0,bottom
R24,124.15,-96.95,90.0,top
R240,119.895,-67.15,180.0,top
R241,136.85,-73.3,0.0,top
R25,187.75,-140.0,90.0,bottom
R26,162.6,-139.75,90.0,bottom
R27,175.75,-140.5,90.0,bottom
R28,143.5,-143.0,0.0,bottom
R29,151.75,-143.0,180.0,bottom
R3,89.0,-87.2,270.0,bottom
R30,141.0,-132.75,90.0,bottom
R31,142.5,-133.0,90.0,bottom
R32,144.5,-133.5,180.0,bottom
R33,140.6,-124.75,270.0,bottom
R34,149.25,-132.75,270.0,bottom
R35,147.25,-123.55,180.0,bottom
R36,158.0,-107.7,0.0,bottom
R37,162.3,-120.45,0.0,bottom
R38,162.95,-121.5,0.0,bottom
R39,147.05,-114.3,180.0,bottom
R4,156.1,-106.45,0.0,top
R40,148.65,-113.75,90.0,bottom
R41,147.1,-113.35,180.0,bottom
R42,146.75,-112.45,0.0,bottom
R43,149.25,-106.2,180.0,bottom
R44,152.65,-109.7,90.0,bottom
R45,157.4086,-109.75,270.0,bottom
R46,112.75,-86.75,90.0,bottom
R47,113.35,-82.95,90.0,bottom
R48,115.75,-90.0,0.0,bottom
R49,118.0,-82.7,90.0,bottom
R5,176.35,-92.35,90.0,bottom
R50,160.65,-106.7,180.0,bottom
R51,112.0,-81.2,270.0,bottom
R52,185.75,-128.25,180.0,top
R53,160.05,-93.4,270.0,bottom
R54,146.3,-86.85,90.0,top
R55,149.0,-125.5,90.0,bottom
R56,150.75,-132.75,270.0,bottom
R57,144.25,-122.75,0.0,bottom
R58,136.05,-130.7,90.0,bottom
R59,138.25,-132.75,90.0,bottom
R6,161.3,-98.95,0.0,bottom
R60,139.75,-132.75,90.0,bottom
R61,135.75,-127.5,270.0,bottom
R62,135.25,-124.75,90.0,bottom
R63,146.75,-121.0,180.0,bottom
R64,147.0,-122.5,0.0,bottom
R65,144.25,-121.5,0.0,bottom
R66,134.75,-127.5,270.0,bottom
R67,159.5,-70.3,180.0,bottom
R68,159.5,-71.3,180.0,bottom
R69,159.45,-69.05,180.0,bottom
R7,162.8,-106.8,180.0,top
R70,159.4,-67.75,180.0,bottom
R71,178.7,-67.4,180.0,bottom
R72,178.7,-68.45,180.0,bottom
R73,178.65,-69.75,180.0,bottom
R74,178.75,-71.25,180.0,bottom
R75,158.915,-56.75,180.0,bottom
R76,158.9,-55.5,180.0,bottom
R77,158.95,-53.25,180.0,bottom
R78,158.95,-52.2,180.0,bottom
R79,180.5,-52.8,180.0,bottom
R8,146.1,-106.05,180.0,bottom
R80,180.5,-51.75,180.0,bottom
R81,180.4,-54.25,180.0,bottom
R82,180.45,-55.55,180.0,bottom
R83,105.35,-138.15,90.0,bottom
R84,109.25,-135.5,180.0,bottom
R85,102.7,-144.1,180.0,bottom
R86,102.7,-142.65,180.0,bottom
R87,95.5,-125.5,90.0,bottom
R88,97.5,-125.75,0.0,bottom
R89,94.0,-132.0,90.0,top
R9,90.0,-89.5,0.0,bottom
R90,95.75,-133.75,270.0,top
R91,97.75,-127.75,180.0,top
R92,116.25,-121.25,180.0,bottom
R93,95.95,-85.5,180.0,top
R94,108.75,-125.5,270.0,bottom
R95,162.75,-94.35,270.0,bottom
R96,171.35,-90.0,0.0,bottom
R97,131.2,-133.65,0.0,top
R98,131.25,-135.25,180.0,top
R99,131.15,-137.55,180.0,top
RX1,100.75,-74.25,180.0,top
S1,198.25,-57.75,90.0,top
S2,82.75,-144.25,180.0,top
S6,158.775,-145.25,180.0,top
